rank,ward,ward_name,lga,n_settle,radius_km,missed_children,expected,RR,pop_at_risk,LLR,p,n_missed_settle
1,W008,Umyosa,Idi-Oro,31,2.88,3128,913.7,3.42,5585,1696.2,0.001,10
2,W015,Baluru,Idi-Oro,8,2.76,1819,343.2,5.3,2098,1584.3,0.001,5
3,W008,Umyosa,Idi-Oro,54,9.87,3795,1588.5,2.39,9710,1160.2,0.001,15
4,W003,Satita,Idi-Oro,3,2.48,890,145.6,6.11,890,873.5,0.001,3
5,W007,Bayoyi,Idi-Oro,4,3.36,928,159.8,5.81,977,871.2,0.001,2
6,W006,Okradu,Idi-Oro,11,2.33,1205,284.2,4.24,1737,830.3,0.001,5
7,W015,Baluru,Idi-Oro,3,2.75,822,142.5,5.77,871,766.6,0.001,2
8,W001,Ekngoyi,Idi-Oro,1,0.0,666,109.0,6.11,666,652.4,0.001,1
9,W001,Ekngoyi,Idi-Oro,6,3.25,719,133.7,5.38,817,628.6,0.001,4
10,W026,Kungomi,Katsuma,204,27.36,4849,2866.3,1.69,17521,618.0,0.001,54
